Id,Pattern,Widths,A Value,B Value,C Value
0,11011001100,212222,space,space,00
1,11001101100,222122,!,!,01
2,11001100110,222221,",",02
3,10010011000,121223,#,#,03
4,10010001100,121322,$,$,04
5,10001001100,131222,%,%,05
6,10011001000,122213,&,&,06
7,10011000100,122312,',',07
8,10001100100,132212,(,(,08
9,11001001000,221213,),),09
10,11001000100,221312,*,*,10
11,11000100100,231212,+,+,11
12,10110011100,112232,comma,comma,12
13,10011011100,122132,-,-,13
14,10011001110,122231,.,.,14
15,10111001100,113222,/,/,15
16,10011101100,123122,0,0,16
17,10011100110,123221,1,1,17
18,11001110010,223211,2,2,18
19,11001011100,221132,3,3,19
20,11001001110,221231,4,4,20
21,11011100100,213212,5,5,21
22,11001110100,223112,6,6,22
23,11101101110,312131,7,7,23
24,11101001100,311222,8,8,24
25,11100101100,321122,9,9,25
26,11100100110,321221,:,:,26
27,11101100100,312212,;,;,27
28,11100110100,322112,<,<,28
29,11100110010,322211,=,=,29
30,11011011000,212123,>,>,30
31,11011000110,212321,?,?,31
32,11000110110,232121,@,@,32
33,10100011000,111323,A,A,33
34,10001011000,131123,B,B,34
35,10001000110,131321,C,C,35
36,10110001000,112313,D,D,36
37,10001101000,132113,E,E,37
38,10001100010,132311,F,F,38
39,11010001000,211313,G,G,39
40,11000101000,231113,H,H,40
41,11000100010,231311,I,I,41
42,10110111000,112133,J,J,42
43,10110001110,112331,K,K,43
44,10001101110,132131,L,L,44
45,10111011000,113123,M,M,45
46,10111000110,113321,N,N,46
47,10001110110,133121,O,O,47
48,11101110110,313121,P,P,48
49,11010001110,211331,Q,Q,49
50,11000101110,231131,R,R,50
51,11011101000,213113,S,S,51
52,11011100010,213311,T,T,52
53,11011101110,213131,U,U,53
54,11101011000,311123,V,V,54
55,11101000110,311321,W,W,55
56,11100010110,331121,X,X,56
57,11101101000,312113,Y,Y,57
58,11101100010,312311,Z,Z,58
59,11100011010,332111,[,[,59
60,11101111010,314111,\,\,60
61,11001000010,221411,],],61
62,11110001010,431111,^,^,62
63,10100110000,111224,_,_,63
64,10100001100,111422,NUL,`,64
65,10010110000,121124,SOH,a,65
66,10010000110,121421,STX,b,66
67,10000101100,141122,ETX,c,67
68,10000100110,141221,EOT,d,68
69,10110010000,112214,ENQ,e,69
70,10110000100,112412,ACK,f,70
71,10011010000,122114,BEL,g,71
72,10011000010,122411,BS,h,72
73,10000110100,142112,HT,i,73
74,10000110010,142211,LF,j,74
75,11000010010,241211,VT,k,75
76,11001010000,221114,FF,l,76
77,11110111010,413111,CR,m,77
78,11000010100,241112,SO,n,78
79,10001111010,134111,SI,o,79
80,10100111100,111242,DLE,p,80
81,10010111100,121142,DC1,q,81
82,10010011110,121241,DC2,r,82
83,10111100100,114212,DC3,s,83
84,10011110100,124112,DC4,t,84
85,10011110010,124211,NAK,u,85
86,11110100100,411212,SYN,v,86
87,11110010100,421112,ETB,w,87
88,11110010010,421211,CAN,x,88
89,11011011110,212141,EM,y,89
90,11011110110,214121,SUB,z,90
91,11110110110,412121,ESC,{,91
92,10101111000,111143,FS,|,92
93,10100011110,111341,GS,},93
94,10001011110,131141,RS,~,94
95,10111101000,114113,US,DEL,95
96,10111100010,114311,[FNC 3],[FNC 3],96
97,11110101000,411113,[FNC 2],[FNC 2],97
98,11110100010,411311,[Shift B],[Shift A],98
99,10111011110,113141,[Code C],[Code C],99
100,10111101110,114131,[Code B],[FNC 4],[Code B]
101,11101011110,311141,[FNC 4],[Code A],[Code A]
102,11110101110,411131,[FNC 1],[FNC 1],[FNC 1]
103,11010000100,211412,[Start Code A],[Start Code A],[Start Code A]
104,11010010000,211214,[Start Code B],[Start Code B],[Start Code B]
105,11010011100,211232,[Start Code C],[Start Code C],[Start Code C]
106,11000111010,233111,[Stop],[Stop],[Stop]
107,11010111000,211133,[Reverse Stop],[Reverse Stop],[Reverse Stop]
,1100011101011,2331112,[Stop Pattern],[Stop Pattern],[Stop Pattern]
